from_address,to_address,label
sys1qs05qfuw06dja0vglclkuz58nscmj579jll7lzr,sys1qwhd5dz4mxkfwylg9jz4x56ggnc4z2d22u4l78w,Bitget
SMk89rLxW1DjjnnHaoT771LMKCip4S8wRH,ScM7oHdCXXZistSxPr7YjxyZ8tUf3HG8c2,Gate
SYB7KwxBoffYqFm5d2YQcMihAcuSWE1ojx,ScM7oHdCXXZistSxPr7YjxyZ8tUf3HG8c2,Gate
SiATwdpf68Fw7cLY8vmhNJFqMkfeo7irvs,ScM7oHdCXXZistSxPr7YjxyZ8tUf3HG8c2,Gate
SgFkVX3C4rh8MmtFXoPSCGtjD8Kg7Q61ND,sys1q5mqfy3hvp0nwlrs9xu60xt84xhy5yrwcvps9s9,Gate
sys1q5mqfy3hvp0nwlrs9xu60xt84xhy5yrwcvps9s9,SiATwdpf68Fw7cLY8vmhNJFqMkfeo7irvs,Gate
sys1q796zhdepu0f0guary2qvuhdyczxfvk2mw3k2ym,sys1qeyt05mxwlud4q66u8u2jtyq4markks4ru5ldk8,MEXC
sys1q796zhdepu0f0guary2qvuhdyczxfvk2mw3k2ym,sys1q3ec7z8up0phw83t0rund94h0d577lfls9eel38,MEXC
sys1q6am7wjm9tl3kamqxmx7pxem5a4w9ft4tedn0qe,sys1qeyt05mxwlud4q66u8u2jtyq4markks4ru5ldk8,MEXC
sys1qplz3yzgdcpw9t0zp8zflpfv9eak5gju988n62r,sys1qeyt05mxwlud4q66u8u2jtyq4markks4ru5ldk8,MEXC
