outpoint,source_txid,source_vout,pro_tx_hash,service,payee,status,collateral_address,owner_address,voting_address,collateral_height,collateral_time,registered_height,registered_time,last_paid_time,last_paid_block,first_seen_at,last_seen_at,removed_at,taken_down_txid,taken_down_time,taken_down_height,moved_to_address
34e53015e4af06240624ff3d8a4d6a6da8cac00037069a7c60f7c5b875af7033:2,34e53015e4af06240624ff3d8a4d6a6da8cac00037069a7c60f7c5b875af7033,2,c161b00b562b24bfe9cbc7494f0dedde2f10ac8117e94757e93919f01ae29812,31.56.38.214:8369,sys1q494ugtsg0w8rhj3qx8re4xnkwg96c0fr0rw00s,ENABLED,sys1q494ugtsg0w8rhj3qx8re4xnkwg96c0fr0rw00s,sys1qytuqflgsedz70tqfs8ep5wyv20cf5hpq26yg42,sys1qytuqflgsedz70tqfs8ep5wyv20cf5hpq26yg42,2274952,1784286610,2274954,,1788285583,2301248,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
34e53015e4af06240624ff3d8a4d6a6da8cac00037069a7c60f7c5b875af7033:1,34e53015e4af06240624ff3d8a4d6a6da8cac00037069a7c60f7c5b875af7033,1,946fd9652495546ff8dd85d920552cb3c864e07c0b3ea621ca5466173df74ca3,151.244.85.157:8369,sys1qxlqvp2dkftvlf6tsp4kd00vqk83gzhttspp30y,ENABLED,sys1qxlqvp2dkftvlf6tsp4kd00vqk83gzhttspp30y,sys1q8lweuvzw2eejalg6y54u9u34eafyvd9ut73vwg,sys1q8lweuvzw2eejalg6y54u9u34eafyvd9ut73vwg,2274952,1784286610,2274954,,1788285623,2301249,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
6a48cf63eeb4e62b318806c6728c29e9a4cf0f0b12c98ff1eb409ac27ea0f806:0,6a48cf63eeb4e62b318806c6728c29e9a4cf0f0b12c98ff1eb409ac27ea0f806,0,0f9920268e44e6171c5a9ff97b0af6363e4295a96f505047139299532746522d,31.56.38.66:8369,sys1q3chep0qm3xzzfug8ry4nj4j4alfcs9m5jqrqy5,ENABLED,sys1qlukhdvdvpfr6hwreyr3nn97nd5j97mfjf3r5sf,sys1qjmxy3qrt6nn8nacprudpzy378xatjst2caf3sm,sys1qjmxy3qrt6nn8nacprudpzy378xatjst2caf3sm,2268376,1783284206,2268380,1783360350,1788301447,2301342,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
21b46f36e49bb023c33827fc9f9804d0f4f9001725ecfe0937f991f32a4403c5:0,21b46f36e49bb023c33827fc9f9804d0f4f9001725ecfe0937f991f32a4403c5,0,f061be96e4544805fad2bfaf4acf2313847768a779032ef5a385c7b0ca77241d,191.44.102.178:8369,sys1q3chep0qm3xzzfug8ry4nj4j4alfcs9m5jqrqy5,ENABLED,sys1q26768njq6ctfh7pttggn2vsuhklg6t5uy8w3ty,sys1qd8hm09uat220dqm7hk7ruf4dglas80mdvjcxla,sys1qd8hm09uat220dqm7hk7ruf4dglas80mdvjcxla,2268380,1783284594,2268381,,1788301701,2301344,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
1556666dc9c3ad5f55ffd41c7dee7c75511d5be4e8ce6fd0a0f063da44a1d079:0,1556666dc9c3ad5f55ffd41c7dee7c75511d5be4e8ce6fd0a0f063da44a1d079,0,c45e461199c5faf9c7dabcc51b4d26ffb006975c1942bd73e7465fe72eac1238,31.56.38.12:8369,sys1q3chep0qm3xzzfug8ry4nj4j4alfcs9m5jqrqy5,ENABLED,sys1qhzz70rs25n6j5qqwczfe22qn0ge6j74zxgwyaw,sys1qgrp2t4ggrdf6727h4mcn2h30m6g7qennux3tv3,sys1qgrp2t4ggrdf6727h4mcn2h30m6g7qennux3tv3,2268372,1783283466,2268374,,1788300135,2301335,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
9fe21d1e55c771de6bddf3bb3b2978f10e313cd8e2ccd469a1e8d12dd1c5f29e:1,9fe21d1e55c771de6bddf3bb3b2978f10e313cd8e2ccd469a1e8d12dd1c5f29e,1,8f6d750baf1f3f638ccc1815c598824d31b397b42e3ec4e8e5ad439575835623,191.44.102.187:8369,SaHJqpCQgmtnk19FevUi3hMbFRzWcuBrjH,ENABLED,SaHJqpCQgmtnk19FevUi3hMbFRzWcuBrjH,sys1qzmuv0pa8cwn8ahkczy3x8f6eydkf72dfjzjqcc,sys1qzmuv0pa8cwn8ahkczy3x8f6eydkf72dfjzjqcc,2267086,1783090537,2267421,,1788472815,2302465,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
92766271d03e8afab2c359b03edd6ad46bd3e6dc582d78f742875ea365de03bc:1,92766271d03e8afab2c359b03edd6ad46bd3e6dc582d78f742875ea365de03bc,1,6915de86f8190364bb7c0c5fca171baa2fea426375acb8e2386e81424528eb3a,151.244.85.198:8369,sys1q3sjth9sjj8kztgl8rx6uva24vq82057uzhuvrw,ENABLED,sys1q3sjth9sjj8kztgl8rx6uva24vq82057uzhuvrw,sys1qyzjkczukh99pthej2y0qtg04pn20kv6rpkfykx,sys1qyzjkczukh99pthej2y0qtg04pn20kv6rpkfykx,2266505,1782999096,2266507,,1788345187,2301648,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
93d6b527cec1c625fd9aac7986a8e618450070872a987f095c644744a61ce55e:0,93d6b527cec1c625fd9aac7986a8e618450070872a987f095c644744a61ce55e,0,c0271b290a696afca3657e35485e9d8edfab33506b8a77e737919e3f6dfa181a,151.244.85.141:8369,sys1qsuldc6ww3lnxafjn2atsxax0vlp4rfh209u0kx,ENABLED,sys1qsuldc6ww3lnxafjn2atsxax0vlp4rfh209u0kx,sys1qll5u60vcww0p0fk0ukhn669x0542ypuzfaj3h0,sys1qll5u60vcww0p0fk0ukhn669x0542ypuzfaj3h0,2266502,1782998912,2266507,,1788344906,2301647,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
e6b027e2c97bf92e8d524e3d598744c18b2ea7514adcf0ba495eab4ebd33c8e6:4,e6b027e2c97bf92e8d524e3d598744c18b2ea7514adcf0ba495eab4ebd33c8e6,4,fed33b6b0fd3d1a993697fd4436d9d4cc3467d8bc792db913f14fc613ddc0cf9,77.105.61.119:8369,sys1q0d3twq43egcfp75mtsuqycw4rdq0exxgfm9mpw,ENABLED,sys1q0d3twq43egcfp75mtsuqycw4rdq0exxgfm9mpw,sys1ql0k9layf5ajkry938qsm2t80kk670syrh72awk,sys1ql0k9layf5ajkry938qsm2t80kk670syrh72awk,2266501,1782998697,2266509,,1788347947,2301673,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
e6b027e2c97bf92e8d524e3d598744c18b2ea7514adcf0ba495eab4ebd33c8e6:5,e6b027e2c97bf92e8d524e3d598744c18b2ea7514adcf0ba495eab4ebd33c8e6,5,33f092b5bdf701f2f77e45689be81a29c94ff3503f002a6e6684545cc0b17271,195.58.133.179:8369,sys1q0j7r26yq7zu29jj26agxp5p35eydqa4lxcjl9h,ENABLED,sys1q0j7r26yq7zu29jj26agxp5p35eydqa4lxcjl9h,sys1qnsxph9lhd7whgn9kxl78tkp7r4t387utsvrklf,sys1qnsxph9lhd7whgn9kxl78tkp7r4t387utsvrklf,2266501,1782998697,2266509,,1788346563,2301661,2026-09-04T08:55:58+00:00,2026-09-04T08:55:58+00:00,,,,,
